#pref1	#pref2	#bridge
北海道	青森県	1
岩手県	青森県	
秋田県	青森県	
宮城県	岩手県	
岩手県	秋田県	
宮城県	秋田県	
宮城県	山形県	
宮城県	福島県	
山形県	秋田県	
山形県	福島県	
山形県	新潟県	
福島県	茨城県	
栃木県	福島県	
福島県	群馬県	
新潟県	福島県	
栃木県	茨城県	
埼玉県	茨城県	
千葉県	茨城県	
栃木県	群馬県	
埼玉県	栃木県	
埼玉県	群馬県	
新潟県	群馬県	
群馬県	長野県	
千葉県	埼玉県	
埼玉県	東京都	
埼玉県	長野県	
埼玉県	山梨県	
千葉県	東京都	
千葉県	神奈川県	1
東京都	神奈川県	
山梨県	東京都	
山梨県	神奈川県	
神奈川県	静岡県	
富山県	新潟県	
新潟県	長野県	
富山県	石川県	
富山県	長野県	
富山県	岐阜県	
石川県	福井県	
岐阜県	石川県	
岐阜県	福井県	
滋賀県	福井県	
京都府	福井県	
山梨県	長野県	
山梨県	静岡県	
岐阜県	長野県	
長野県	静岡県	
愛知県	長野県	
岐阜県	愛知県	
三重県	岐阜県	
岐阜県	滋賀県	
愛知県	静岡県	
三重県	愛知県	
三重県	滋賀県	
三重県	京都府	
三重県	奈良県	
三重県	和歌山県	
京都府	滋賀県	
京都府	大阪府	
京都府	兵庫県	
京都府	奈良県	
兵庫県	大阪府	
大阪府	奈良県	
和歌山県	大阪府	
兵庫県	鳥取県	
兵庫県	岡山県	
兵庫県	徳島県	1
和歌山県	奈良県	
島根県	鳥取県	
岡山県	鳥取県	
広島県	鳥取県	
島根県	広島県	
山口県	島根県	
岡山県	広島県	
岡山県	香川県	1
山口県	広島県	
広島県	愛媛県	1
山口県	福岡県	1
徳島県	香川県	
徳島県	愛媛県	
徳島県	高知県	
愛媛県	香川県	
愛媛県	高知県	
佐賀県	福岡県	
熊本県	福岡県	
大分県	福岡県	
佐賀県	長崎県	
大分県	熊本県	
宮崎県	熊本県	
熊本県	鹿児島県	
大分県	宮崎県	
宮崎県	鹿児島県	
沖縄県		
